"department","course","numtexts","newprice","usedprice","rowindex"
"BIOCHEM","301",0,0,0,1
"BIOCHEM","302",0,0,0,2
"BIOCHEM","593",0,0,0,3
"BIOCHEM","622",0,0,0,4
"BIOCHEM","667",0,0,0,5
"BIOCHEM","668",0,0,0,6
"BIOCHEM","695",0,0,0,7
"BIOCHEM","536",0,0,0,8
"BIOLOGY","321",1,181.5,136.25,9
"BIOLOGY","201L",1,186.75,140.25,10
"BIOLOGY","220",0,0,0,11
"BIOLOGY","319A",0,0,0,12
"BIOLOGY","273LA",0,0,0,13
"BIOLOGY","346",0,0,0,14
"BIOLOGY","207",0,0,0,15
"BIOLOGY","490TA",0,0,0,16
"BIOLOGY","321D",1,181.5,136.25,17
"CMB","640",0,0,0,18
"CHEM","517",0,0,0,19
"CHEM","590-1",0,0,0,20
"CHEM","496",0,0,0,21
"CHEM","533",0,0,0,22
"COMPSCI","356",0,0,0,23
"COMPSCI","250D",0,0,0,24
"COMPSCI","330",0,0,0,25
"COMPSCI","630",0,0,0,26
"EVANTH","385D",2,118.74,89.25,27
"EVANTH","231L",2,204,153.25,28
"EVANTH","341D",1,181.5,136.25,29
"MATH","216",1,118,88.5,30
"MATH","181",0,0,0,31
"MATH","577",1,142,106.5,32
"MATH","451S",1,69.5,52.25,33
"MATH","340",0,0,0,34
"MATH","612",0,0,0,35
"MATH","453",1,253.5,190.25,36
"MGM","522",0,0,0,37
"MGM","552",0,0,0,38
"MGM","582",0,0,0,39
"NEUROBIO","355S",0,0,0,40
"NEUROSCI","500S",0,0,0,41
"NEUROSCI","101",1,117.5,88.25,42
"NEUROSCI","322",0,0,0,43
"NEUROSCI","507",0,0,0,44
"PHYSICS","465",0,0,0,45
"PHYSICS","134",0,0,0,46
"PHYSICS","622",1,52.5,39.5,47
"PHYSICS","190",0,0,0,48
"PHYSICS","141L9",0,0,0,49
"PHYSICS","505",0,0,0,50
"PSY","437S",0,0,0,51
"PSY","324S",0,0,0,52
"PSY","323",1,48,36,53
"PSY","668S",0,0,0,54
"PSY","101",1,251.75,189,55
"PSY","603S",0,0,0,56
"PSY","104",1,92.75,69.75,57
"PSY","107",0,0,0,58
"PSY","355S",0,0,0,59
"STA","360",0,0,0,60
"STA","210",1,200,150,61
"STA","130",0,0,0,62
"STA","561D",0,0,0,63
